Pos.,Topic Abstract,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
1,95%CI,4,,,,,,,,,,,
,,,1,2-s2.0-85097250289,2020,Regular coffee drinking and cardiovascular risk: A critical review of the literature,"Objective: To analyse and summarise the evidence on the effect of regular coffee drinking on the appearance of cardiovascular disease. Methods: A critical review of the literature was carried out based on a meta-analysis and systematic reviews published in MedLine, EMBASE, Cochrane Database of Systematic Reviews, and LILACS (January 1966 to June 2018). The search, selection, and extraction of the information were performed by two investigators. The quality of the manuscripts was evaluated using AMSTAR. Results: An analysis was made of 4 systematic reviews that considered coronary disease, cardiovascular risk, and myocardial infarction as outcomes. For the first and second outcomes, a reduction in risk was found with consuming 3-4 cups/day (RR = 0.90; 95%CI; 0.84-0.9; P =.02, and RR = 0.85; IC95% CI; 0.80-0.90; P =.09); for 1-2 cups/day (RR = 0.89; 95%CI; 0.85-0.94; P =.83, and RR = 0.89; 95%CI; 0.84-0.94; P =.09), respectively. As regards myocardial infarction, an increase in risk was reported with consuming 3-4 cups/day (OR = 1.75; 95%CI; 1.44-2.14; P =.005) and ≥ 4 cups/day (OR = 2.01; IC95%CI; 1.7-2.36; P <.001). Conclusion: Mild and moderate consumption of coffee has a neutral effect or a reduction in cardiovascular risk and coronary disease. On the other hand, the risk of myocardial is increased with drinking more or equal to 3 cups/day in men. The drinking of up to 3 cups of coffee/day is recommended, and it is not advised to drink more, especially in men.",Article,"Gutierrez, Vanesa.; Penaloza, Maylin.; Unknown.; Unknown.; Badoui, Nora.; Alba, Luz H.elena",Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Colombia,
,,,1,2-s2.0-85097250289,2020,Regular coffee drinking and cardiovascular risk: A critical review of the literature,"Objective: To analyse and summarise the evidence on the effect of regular coffee drinking on the appearance of cardiovascular disease. Methods: A critical review of the literature was carried out based on a meta-analysis and systematic reviews published in MedLine, EMBASE, Cochrane Database of Systematic Reviews, and LILACS (January 1966 to June 2018). The search, selection, and extraction of the information were performed by two investigators. The quality of the manuscripts was evaluated using AMSTAR. Results: An analysis was made of 4 systematic reviews that considered coronary disease, cardiovascular risk, and myocardial infarction as outcomes. For the first and second outcomes, a reduction in risk was found with consuming 3-4 cups/day (RR = 0.90; 95%CI; 0.84-0.9; P =.02, and RR = 0.85; IC95% CI; 0.80-0.90; P =.09); for 1-2 cups/day (RR = 0.89; 95%CI; 0.85-0.94; P =.83, and RR = 0.89; 95%CI; 0.84-0.94; P =.09), respectively. As regards myocardial infarction, an increase in risk was reported with consuming 3-4 cups/day (OR = 1.75; 95%CI; 1.44-2.14; P =.005) and ≥ 4 cups/day (OR = 2.01; IC95%CI; 1.7-2.36; P <.001). Conclusion: Mild and moderate consumption of coffee has a neutral effect or a reduction in cardiovascular risk and coronary disease. On the other hand, the risk of myocardial is increased with drinking more or equal to 3 cups/day in men. The drinking of up to 3 cups of coffee/day is recommended, and it is not advised to drink more, especially in men.",Article,"Gutierrez, Vanesa.; Penaloza, Maylin.; Unknown.; Unknown.; Badoui, Nora.; Alba, Luz H.elena",Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Colombia,
,,,1,2-s2.0-85097250289,2020,Regular coffee drinking and cardiovascular risk: A critical review of the literature,"Objective: To analyse and summarise the evidence on the effect of regular coffee drinking on the appearance of cardiovascular disease. Methods: A critical review of the literature was carried out based on a meta-analysis and systematic reviews published in MedLine, EMBASE, Cochrane Database of Systematic Reviews, and LILACS (January 1966 to June 2018). The search, selection, and extraction of the information were performed by two investigators. The quality of the manuscripts was evaluated using AMSTAR. Results: An analysis was made of 4 systematic reviews that considered coronary disease, cardiovascular risk, and myocardial infarction as outcomes. For the first and second outcomes, a reduction in risk was found with consuming 3-4 cups/day (RR = 0.90; 95%CI; 0.84-0.9; P =.02, and RR = 0.85; IC95% CI; 0.80-0.90; P =.09); for 1-2 cups/day (RR = 0.89; 95%CI; 0.85-0.94; P =.83, and RR = 0.89; 95%CI; 0.84-0.94; P =.09), respectively. As regards myocardial infarction, an increase in risk was reported with consuming 3-4 cups/day (OR = 1.75; 95%CI; 1.44-2.14; P =.005) and ≥ 4 cups/day (OR = 2.01; IC95%CI; 1.7-2.36; P <.001). Conclusion: Mild and moderate consumption of coffee has a neutral effect or a reduction in cardiovascular risk and coronary disease. On the other hand, the risk of myocardial is increased with drinking more or equal to 3 cups/day in men. The drinking of up to 3 cups of coffee/day is recommended, and it is not advised to drink more, especially in men.",Article,"Gutierrez, Vanesa.; Penaloza, Maylin.; Unknown.; Unknown.; Badoui, Nora.; Alba, Luz H.elena",Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Colombia,
,,,1,2-s2.0-85097250289,2020,Regular coffee drinking and cardiovascular risk: A critical review of the literature,"Objective: To analyse and summarise the evidence on the effect of regular coffee drinking on the appearance of cardiovascular disease. Methods: A critical review of the literature was carried out based on a meta-analysis and systematic reviews published in MedLine, EMBASE, Cochrane Database of Systematic Reviews, and LILACS (January 1966 to June 2018). The search, selection, and extraction of the information were performed by two investigators. The quality of the manuscripts was evaluated using AMSTAR. Results: An analysis was made of 4 systematic reviews that considered coronary disease, cardiovascular risk, and myocardial infarction as outcomes. For the first and second outcomes, a reduction in risk was found with consuming 3-4 cups/day (RR = 0.90; 95%CI; 0.84-0.9; P =.02, and RR = 0.85; IC95% CI; 0.80-0.90; P =.09); for 1-2 cups/day (RR = 0.89; 95%CI; 0.85-0.94; P =.83, and RR = 0.89; 95%CI; 0.84-0.94; P =.09), respectively. As regards myocardial infarction, an increase in risk was reported with consuming 3-4 cups/day (OR = 1.75; 95%CI; 1.44-2.14; P =.005) and ≥ 4 cups/day (OR = 2.01; IC95%CI; 1.7-2.36; P <.001). Conclusion: Mild and moderate consumption of coffee has a neutral effect or a reduction in cardiovascular risk and coronary disease. On the other hand, the risk of myocardial is increased with drinking more or equal to 3 cups/day in men. The drinking of up to 3 cups of coffee/day is recommended, and it is not advised to drink more, especially in men.",Article,"Gutierrez, Vanesa.; Penaloza, Maylin.; Unknown.; Unknown.; Badoui, Nora.; Alba, Luz H.elena",Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Cardiovascular risk;Coffee;Coronary disease;Myocardial infarction;Systematic review,Colombia,
2,"licensee Growing Science, Canada",4,,,,,,,,,,,
,,,3,WOS:000591570800009,2021,Solving the one-warehouse N-retailers problem with stochastic demand: An inter-ratio policies approach,"In this paper, we consider a two-echelon supply chain in which one warehouse provides a single product to N retailers, using integer-ratio policies. Deterministic version of the problem has been widely studied. However, this assumption can lead to inaccurate and ineffective decisions. In this research, we tackle the stochastic version of two-echelon inventory system by designing an extension of a well-known heuristic. This research considers customer demands as following a normal density function. A set of 240 random instances was generated and used in evaluating both the deterministic and stochastic solution approaches. Due to the nature of the objective function, evaluation was carried out via Monte Carlo simulation. For variable demand settings, computational experiments shows that: i) the use of average demand to define the inventory policy implies an underestimation of the total cost and ii) the newly proposed method offers cost savings. (C) 2021 by the authors; licensee Growing Science, Canada",Article,"Chavarro, G.; Fresen, M.; Gonzalez, E.R.; Ferro, D.B.; Lopez-Ospina, H.",Integer-ratio policies; Two-echelon inventory systems; Stochastic demand; Heuristics,Integer-ratio policies;Two-echelon inventory systems;Stochastic demand;Heuristics;INVENTORY CONTROL;MODEL;COORDINATION;MANAGEMENT;NETWORK;UNCERTAINTY;ALLOCATION,Colombia,2-s2.0-85097017717
,,,3,WOS:000494644100006,2020,Using a hybrid heuristic to solve the balanced vehicle routing problem with loading constraints,"The Vehicle Routing Problem with Loading Constraints (VRPLC) is strongly related to real life applications in distribution logistics. It addresses the simultaneous loading and routing of vehicles, which are two crucial activities in transportation. Since treating these operations separately may result in impractical solutions, the development of applications for VRPLCs has gained the attention of researchers in recent years. Several heuristic methods have been proposed, but they consider only a limited group of practical characteristics that arise in real world situations. This study proposes a hybrid heuristic method based on the Greedy Randomized Adaptive Search Procedure (GRASP) metaheuristic and the Clarke and Wright Savings algorithm, to solve a VRPLC with several loading and routing constraints that have not been considered simultaneously before. Experimental results show that the proposed procedure produces competitive solutions in short processing times. Lastly, the impact of the added operational constraints is also analyzed. (C) 2020 by the authors; licensee Growing Science, Canada",Article,"Vega-Mejia, C.A.; Gonzalez-Neira, E.M.; Montoya-Torres, J.R.; Islam, S.M.N.",Vehicle Routing Problem with Loading Constraints; Hybrid heuristic; GRASP; Clarke and Wright Savings; Practical loading and routing constraints,Vehicle Routing Problem with Loading Constraints;Hybrid heuristic;GRASP;Clarke and Wright Savings;Practical loading and routing constraints;NEIGHBORHOOD SEARCH;OPTIMIZATION MODEL;LOCAL SEARCH;ALGORITHM,Colombia;Australia,2-s2.0-85083827465
,,,2,WOS:000719401500010,2022,A granular tabu search for the refrigerated vehicle routing problem with homogeneous fleet,"The Refrigerated Capacitated Vehicle Routing Problem (RCVRP) considers a homogeneous fleet with a refrigerated system to decide the selection of routes to be performed according to customers' requirements. The aim is to keep the energy consumption of the routes as low as possible. We use a thermodynamic model to understand the unloading of products from trucks and the variables' efficiency, such as the temperature during the day influencing energy consumption. By considering various neighborhoods and a shaking procedure, this paper proposes a Granular Tabu Search scheme to solve the RCVRP. Computational tests using adapted benchmark instances from the literature demonstrate that the suggested method delivers high-quality solutions within short computing times, illustrating the refrigeration system's effect on routing decisions. (c) 2022 by the authors; licensee Growing Science, Canada",Article,"Escobar, J.W.; Duque, J.L.R.; Garcia-Caceres, R.",Granular Tabu Search (GTS); Refrigerated Capacitated Vehicle; Routing Problem (RCVRP); Metaheuristic Algorithms; Refrigerated Systems; Vehicle Routing Problems; COVID-19,Granular Tabu Search (GTS);Refrigerated Capacitated Vehicle;Routing Problem (RCVRP);Metaheuristic Algorithms;Refrigerated Systems;Vehicle Routing Problems;COVID-19;FOOD TRANSPORT;ENVIRONMENTAL IMPACTS;HETEROGENEOUS FLEET;GENETIC ALGORITHM;OPTIMIZATION;CHAIN;CONSUMPTION;FROZEN;MODEL,Colombia,2-s2.0-85119670810
,,,1,WOS:000538430200008,2020,An online real-time matheuristic algorithm for dispatch and relocation of ambulances,"The Medical System of Transportation deals with two online real-time decisions: ambulance dispatching and relocation. Dispatching consists of selecting which ambulance to send to an emergency call; relocation consists of determining how to modify the location of available ambulances in response to changes in the system's state. Although the literature regarding this problem is extensive, only a limited number of online real-time approaches for ambulance management have been proposed, much less one taking into consideration different types of emergencies and vehicles. This paper proposes an online real-time matheuristic algorithm that combines: i) a new preparedness index defined as the availability probability of a multi-server queue model which is used as an optimization objective and as a control variable for relocation strategies, ii) two mathematical models to solve the relocation problem, one oriented to the maximization of coverage and other to the minimization of the maximum relocation time, and iii) two heuristic algorithms oriented to the maximization of the preparedness level, one to solve the dispatch problem and other to solve the location problem of one ambulance. The computational experiments, based on discrete event simulation and historical data of Bogota, Colombia, have shown their capability to adequately respond to the necessities of real-time operation. (C) 2020 by the authors; licensee Growing Science, Canada",Article,"Roa, J.C.P.; Escobar, J.W.; Moreno, C.A.M.",Ambulances; Emergency Medical Vehicles; Relocation; Dispatch; Matheuristic Algorithm; Optimization; Discrete Event Simulation,Ambulances;Emergency Medical Vehicles;Relocation;Dispatch;Matheuristic Algorithm;Optimization;Discrete Event Simulation;STATION LOCATION;SERVICE SYSTEMS;PERFORMANCE;SIMULATION;MODEL;STRATEGIES,Colombia,2-s2.0-85083061018
