Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
1,Colombia,635,,,,,,,,,,,
,,,334,2-s2.0-0033771529,2000,Local environmental control and institutional crowding-out,"Regulations that are designed to improve social welfare typically begin with the premise that individuals are purely self-interested. Experimental evidence shows, however, that individuals do not typically behave this way; instead, they tend to strike a balance between self and group interests. From experiments performed in rural Colombia, we found that a regulatory solution for an environmental delimma that standard theory predicts would improve social welfare clearly did not. This occurred because individuals confronted with the regulation began to exhibit less other-regarding behavior and made choices that were more self-interested; that is, the regulation appeared to crowd out other-regarding behavior. (C) 2000 Elsevier Science Ltd. All rights reserved.",Article,"Cardenas, Juan Camilo.; Unknown.; Unknown",Colombia;Experiments;External regulation;Institutional crowding-out;Local environmental quality;South America,Colombia;Experiments;External regulation;Institutional crowding-out;Local environmental quality;South America,Colombia;United States,
,,,326,WOS:000236776600020,2006,Regional patterns of agricultural land use and deforestation in Colombia,"An expanding human population and associated demands for goods and services continues to exert an increasing pressure on ecological systems. Although the rate of expansion of agricultural lands has slowed since 1960, rapid deforestation still occurs in many tropical countries, including Colombia. However, the location and extent of deforestation and associated ecological impacts within tropical countries is often not well known. The primary aim of this study was to obtain an understanding of the spatial patterns of forest conversion for agricultural land uses in Colombia. We modeled native forest conversion in Colombia at regional and national-levels using logistic regression and classification trees. We investigated the impact of ignoring the regional variability of model parameters, and identified biophysical and socioeconomic factors that best explain the current spatial pattern and inter-regional variation in forest cover. We validated our predictions for the Amazon region using MODIS satellite imagery. The regional-level classification tree that accounted for regional heterogeneity had the greatest discrimination ability. Factors related to accessibility (distance to roads and towns) were related to the presence of forest cover, although this relationship varied regionally. In order to identify areas with a high risk of deforestation, we used predictions from the best model, refined by areas with rural population growth rates of > 2%. We ranked forest ecosystem types in terms of levels of threat of conversion. Our results provide useful inputs to planning for biodiversity conservation in Colombia, by identifying areas and ecosystem types that are vulnerable to deforestation. Several of the predicted deforestation hotspots coincide with areas that are outstanding in terms of biodiversity value. (c) 2005 Elsevier B.V. All rights reserved.",Article,"Etter, A.; McAlpine, C.; Wilson, K.; Phinn, S.; Possingham, H.P.",deforestation; modeling; regional variability; agriculture; spatial footprint; land cover change; hotspots; Colombia,deforestation;modeling;regional variability;agriculture;spatial footprint;land cover change;hotspots;Colombia;COVER CHANGE;LANDSCAPE TRANSFORMATION;COSTA-RICA;PRINCIPLES;RATES;ACCESSIBILITY;VULNERABILITY;CONSERVATION;TRENDS,Australia;Colombia,2-s2.0-33645234345
,,,188,WOS:000255168500001,2008,Historical patterns and drivers of landscape change in Colombia since 1500: A regionalized spatial approach,"The extent and the spatial patterns of landscape transformation we observe today are the result of the historic human settlement process, often dating back hundreds or thousands of years. Analyzing and reconstructing those historical patterns helps to advance the understanding of the dynamics and persistence of present-day ecosystems. This article explores this reconstruction by identifying and analyzing historic drivers of landscape change for seven periods between 1500 and 2000, and presents historical land use maps showing major trends and impacts on natural ecosystems. Historic land use maps were built using an ecosystem map of 1998 and a ""preclearing"" ecosystem map, by constraining the spatial change of transformed areas using data on accessibility to rivers and roads, elevation, slope, moisture availability, and settlement areas. We estimate the transformed area rose from approximately 15 Mha in 1500 to 42 Mha in 2000, and land use changed from cropping in 1500 to predominantly grazing in 2000. Demographic impacts of colonization and the introduction of cattle were major drivers of change, but rates and trends of land cover change varied between regions and from period to period. The most impacted ecosystems have been the Andean and tropical dry forests, with the most recent trends toward clearing of humid lowland forests, especially in the Amazon and Pacific. Some landscapes have been subject to strong human influence continuously for more than 500 years, whereas others have been transformed for less than thirty years. We discuss the relevance of a historical approach for guiding conservation goals, ecological restoration efforts, and research hypotheses. Key Words: Colombia, environmental history, historical land use drivers, land cover change, regionalization.",Article,"Etter, A.; McAlpine, C.; Possingham, H.P.",Colombia; environmental history; historical land use drivers; land cover change; regionalization,Colombia;environmental history;historical land use drivers;land cover change;regionalization;LAND-USE HISTORY;COVER;DEFORESTATION;CONSERVATION;AMERICA;BIODIVERSITY;MANAGEMENT;AUSTRALIA;CROPLANDS,Colombia;Australia,2-s2.0-65449162656
,,,166,WOS:000303232300006,2012,"Green pretexts: Ecotourism, neoliberal conservation and land grabbing in Tayrona National Natural Park, Colombia","While conflict-related dynamics are recognized as causes of land grabbing in Colombia, violent processes of exclusion and expropriation behind 'greener' projects are often seen as disconnected from them. The case of ecotourism in Tayrona National Natural Park makes it possible to explore the geographies of violence that sustain tourism in the area and their role in shaping everyday resource politics. This paper shows how green pretexts of paradisiacal spots in need of protection have contributed to privatization and dispossession. Furthermore, it details how land-grabbing dynamics have been enabled by processes of sociospatial demarcation that produce not-green-enough subjects as bodies-out-of-place.",Article,"Ojeda, D.",neoliberal conservation; land grabbing; ecotourism; militarization; Colombia,neoliberal conservation;land grabbing;ecotourism;militarization;Colombia;POLITICS;STATE;MULTICULTURALISM;ENVIRONMENTALISM;BLACKNESS;VIOLENCE,Colombia,2-s2.0-84860207902
,,,154,WOS:000276493400016,2010,"Perceived and objective neighborhood environment attributes and health related quality of life among the elderly in Bogota, Colombia","This study examines associations between neighborhood environment attributes and health related quality of life (HRQOL) and self-rated health (SRH) among older adults (60 years and over) in Bogota, Colombia. Perceived and objective neighborhood environmental characteristics were assessed in a cross sectional multilevel design with 1966 older adults within 50 neighborhoods. Outcome variables included HRQOL (physical and mental dimensions) and SRH measured with the Spanish version of the Short Form 8 (SF-8). Independent variables included perceived and objective neighborhood characteristics as well as self-reported levels of walking. Hierarchical linear and logistic regression models were used for the analysis. Among perceived neighborhood characteristics, safety from traffic was positively associated with both HRQOL dimensions and SRH. Having safe parks was positively associated with the mental dimension of HRQOL and with SRH. Street noise was negatively associated with both HRQOL dimensions. Regarding objective neighborhood characteristics, residing in areas with more than eight percent of land covered by public parks was positively associated with SRH. Objective and perceived neighborhood characteristics could provide insight into potential interventions among older adults from rapidly urbanizing settings in Latin America. (C) 2010 Elsevier Ltd. All rights reserved.",Article,"Parra, D.C.; Gomez, L.F.; Sarmiento, O.L.; Buchner, D.; Brownson, R.; Schimd, T.; Gomez, V.; Lobelo, F.",Health related quality of life; Neighborhood environment; Walking; Older adults; Colombia; Perceived environmental indicators,Health related quality of life;Neighborhood environment;Walking;Older adults;Colombia;Perceived environmental indicators;SELF-RATED HEALTH;BUILT ENVIRONMENT;OLDER-ADULTS;PHYSICAL-ACTIVITY;WALKING ACTIVITY;POPULATION;POLICY;LEVEL,United States;Colombia,2-s2.0-77951221525
,,,124,WOS:000236510700007,2006,Patterns and causes of deforestation in the Colombian Amazon,"Ecosystem information on the Colombian Amazonia is poor in comparison with that on the Brazilian Amazon. We examined patterns of ecosystem diversity, deforestation and fragmentation and provided an estimate on their possible causes through a temporal and spatial analysis of biotic and abiotic data using remote sensing and geographical information systems in six pilot areas covering a total of 4,200,000 ha. Ecological, demographic and socio-economic data were analysed to establish the local conditions. We used a landscape ecology approach to calculate indicators of ecosystem diversity, cover and forest fragmentation such as number of patches, mean patch size, mean shape index and mean nearest neighbour distance. Patterns of deforestation did not run parallel to access roads; instead the typical pattern of unplanned colonization follows the only transportation network existing in many areas in the Colombian Amazonia: rivers. In addition, we have used indicators of human influence such as demographic pressure, quality of life and economic activity indicators. Results show that the extent and rate of change varies between areas depending on population density. Annual deforestation rates were 3.73 and 0.97% in the high population density growth areas of Alto Putumayo and Macarena respectively, and 0.31, 0.23, and 0.01% in the relatively unpopulated areas of indigenous population. These changes are related to land use history as well as to environmental and historical socio-economic factors such as oil extraction, deforestation, cattle ranching or illegal cropping. The current situation in the region suggests that tropical deforestation rates in the Colombian Amazon are substantially higher than those found in previous studies in the rest of the Amazon. (c) 2005 Elsevier Ltd. All rights reserved.",Article,"Armenteras, D.; Rudas, G.; Rodriguez, N.; Sua, S.; Romero, M.",fragmentation; satellite imagery; tropical deforestation; land use change; biodiversity; indicators; Amazonia; Colombia,fragmentation;satellite imagery;tropical deforestation;land use change;biodiversity;indicators;Amazonia;Colombia;FOREST FRAGMENTATION;BRAZILIAN AMAZONIA;RAIN-FOREST;CONSERVATION;DYNAMICS;PASTURE;HABITAT,Colombia;United Kingdom,2-s2.0-33644855503
,,,113,2-s2.0-0038382304,2000,How do groups solve local commons dilemmas? Lessons from experimental economics in the field,"The use of experimental settings to observe human behaviour in a controlled environment of incentives, rules and institutions, has been widely used by the behavioural sciences for sometime now, particularly by psychology and economics. In most cases the subjects are college students recruited for one to two hour decision making exercises in which, depending on their choices, they earn cash averaging US$ 20. In such exercises players face a set of feasible actions, rules and incentives (payoffs) involving different forms of social exchange with other people, and that in most cases involve some kind of externalities with incomplete contracts, such as in the case of common-pool resources situations. Depending on the ecological and institutional settings, the resource users face a set of feasible levels of extraction, a set of rules regarding the control or monitoring of individual use, and sometimes ways of imposing material or non-material costs or rewards to those breaking or following the rules. We brought the experimental lab to the field and invited about two hundred users of natural resources in three Colombian rural villages to participate in such decision making exercises and through these and other research instruments we learned about the ways they solve - or fail to - tragedies of the commons with different social institutions. Further, bringing the lab to the field allowed us to explore some of the limitations of existing models about human behaviour and its consequences for designing policies for conserving ecosystems and improving social welfare. © 2001 Kluwer Academic Publishers.",Article,"Cardenas, Juan Camilo",Co-operation;Collective action;Colombia;Common-pool resources;Crowding-out;Experimental economics;Experiments;Field experiments;Game theory;Institutions;Reciprocity;Regulation;Reputation;Trust,Co-operation;Collective action;Colombia;Common-pool resources;Crowding-out;Experimental economics;Experiments;Field experiments;Game theory;Institutions;Reciprocity;Regulation;Reputation;Trust,Colombia,
,,,90,2-s2.0-0034163654,2000,The mini-mental state examination as a diagnostic selection test for dementia: A Colombian population study,"Introduction. Folstein's Mini Mental State Examination (MMSE) is widely used as screening test for cognitive impairment. Objective. To test a Spanish version of the MMSE in a population of high illiteracy rate. Material and methods. Population-based survey of a stratified random sample of urban and rural residents of five regions of Colombia, followed by neurological and neuropsychological evaluation of suspect cases (phase 2). Dementia was diagnosed using DSM-IV criteria. Results. 1,611 subjects age 50 or older filled out both the WHO Protocol for Epidemiologic Studies of Neurological Disorders and a Spanish version of the MMSE; 55.2% of them had three or less years of schooling; 536 individuals with scores below cutoff points were sent to phase 2. Of the population with satisfactory scores in MMSE 366 (34.0%) were evaluated by neurologists to exclude other neurological conditions. Twelve cases of dementia were diagnosed among individuals with scores below cutoff point and one among subjects with high scores. Age-adjusted prevalence was 8.1 per thousand subjects age 50 or over (95% CI: 3.7-12.5); and 34.2 per thousand for ages 75 or over (95% CI: 12.2-56.2). Sensitivity and specificity were 92.3 and 53. 7%; 16 of the 19 questions show significant differences (p< 0.001) according to educational level. A gender gap is significant in low educational levels (p< 0.001) but not in subjects with more than five years of schooling. Conclusions. MMSE scores correlated closely with level of education. Low specificity leads to many non-demented subjects with low educational status requiring further investigation.",Article,"Rosselli, Diego",Aging;Colombia;Dementia/epidemiology;Educational status;Mass screening/methods;Neuropsychology,Aging;Colombia;Dementia/epidemiology;Educational status;Mass screening/methods;Neuropsychology,Colombia,
,,,88,WOS:000320220600011,2013,Occurrence of hydrophobic organic pollutants (BFRs and UV-filters) in sediments from South America,"In the present study the occurrence of emerging hydrophobic organic pollutants in sediment samples from South America (Chile and Colombia) was investigated for the first time. Nineteen Chilean and thirteen Colombian sediment samples were analyzed in order to determine their content of brorninated flame retardants (BFRs) (including PBDEs and emerging BFRs) as well as UV filters (UV-F). Samples were collected from neighboring aquatic ecosystems highly urbanized and industrialized in Colombia (Magdalena River area) and Chile (Biobio region). Different analytical procedures were applied depending on the selected analytes, based on chromatographic and mass spectrometric methodologies (GC-MS and LC-MS-MS). In general, concentration levels of both BFRs (up to 2.43 and 143 ng g(-1)dw of PBDEs in Chile and Colombia, respectively) and UV-F (nd-2.96 and nd-54.4 ng g(-1) dw in Chile and Colombia, respectively) were in the low range of published data, and the contribution of BFRs was higher than that of UV-F for almost all the sampled sediments. (C) 2013 Elsevier Ltd. All rights reserved.",Article,"Baron, E.; Gago-Ferrero, P.; Gorga, M.; Rudolph, I.; Mendoza, G.; Zapata, A.M.; Diaz-Cruz, S.; Barra, R.; Ocampo-Duque, W.; Paez, M.; Darbra, R.M.; Eljarrat, E.; Barcelo, D.",BFR; Chile; Colombia; Sediments; South America; UV filter,BFR;Chile;Colombia;Sediments;South America;UV filter;POLYBROMINATED DIPHENYL ETHERS;PRESSURIZED LIQUID EXTRACTION;BROMINATED FLAME RETARDANTS;WASTE-WATER;CHROMATOGRAPHY;SAMPLES;HEXABROMOCYCLODODECANE;IDENTIFICATION;ESTUARY;SLUDGE,Spain;Chile;Colombia,2-s2.0-84877696087
