Pos.,Country,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Colombia,14011,101.5,1652.5,23.6,136,7,13,10,5,12,19,35,21,40,32,47,53,56,72,83,114,141,152,239,343,408,393,587,595,641,769,935,1070,1123,1211,1480,1622,1683
2,United States,2165,-13.0,233.0,21.5,184,2,13,1,1,0,12,16,15,13,23,15,10,20,22,14,35,19,19,20,41,69,48,73,81,69,134,132,173,188,167,254,238,228
3,Spain,1163,14.5,121.5,20.9,98,0,0,0,1,0,0,0,7,15,0,6,3,3,6,3,15,15,12,30,27,27,25,44,54,42,70,91,87,121,121,95,119,124
4,Chile,738,23.5,114.0,30.9,59,0,3,0,1,0,4,2,6,3,0,0,0,1,3,5,1,2,0,5,9,10,12,17,15,18,21,65,68,68,93,78,103,125
5,Brazil,695,13.5,103.5,29.8,73,0,1,0,0,0,0,1,1,0,0,1,2,2,3,7,6,2,3,8,12,9,19,29,30,34,37,51,49,50,50,81,99,108
6,United Kingdom,620,18.5,89.5,28.9,102,0,1,0,0,2,4,2,0,2,0,5,2,2,4,8,12,5,4,5,3,4,12,19,16,18,42,41,71,46,46,65,77,102
7,France,615,6.5,54.5,17.7,89,0,2,0,0,0,0,1,0,1,4,2,2,5,5,2,4,7,10,10,17,17,22,22,28,30,52,64,46,58,48,47,49,60
8,Mexico,548,-4.0,68.0,24.8,74,0,0,0,0,0,0,0,1,0,1,3,1,9,4,3,4,8,3,8,9,11,23,25,20,13,26,37,46,50,41,66,78,58
9,Argentina,441,9.0,76.0,34.5,53,0,0,0,0,0,0,0,1,0,0,4,0,2,1,3,3,7,3,5,10,8,4,20,9,17,15,23,33,27,37,57,77,75
10,Canada,436,3.5,51.0,23.4,98,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5,2,2,4,11,5,10,15,11,18,22,43,56,48,34,43,52,50
