Pos.,IndexKeywords,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,RISK,162,-10.0,15.0,18.5,27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,5,4,0,6,5,7,10,16,11,18,15,30,20,10
2,MANAGEMENT,161,-3.5,26.5,32.9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,3,4,7,5,6,22,12,16,23,37,16
3,PREVALENCE,152,-2.0,16.5,21.7,28,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,4,4,9,7,9,5,6,10,8,10,27,14,23,10
4,IMPACT,148,0.0,26.0,35.1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,4,6,6,3,3,8,16,7,20,17,35,17
5,HEALTH,142,0.5,23.0,32.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,7,1,2,8,3,11,11,21,22,23,23
6,MODEL,137,-6.0,15.0,21.9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,6,10,1,4,7,15,14,16,26,16,14
7,DIVERSITY,116,-1.0,10.5,18.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,1,1,8,7,8,2,2,6,5,7,13,12,14,9,12
8,PATTERNS,103,-4.0,10.0,19.4,27,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,3,1,5,4,2,5,4,1,4,5,6,11,9,17,11,9
9,IDENTIFICATION,102,-6.5,3.5,6.9,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,3,4,2,5,8,5,4,6,6,13,4,13,14,6,1
10,DISEASE,101,-2.0,9.5,18.8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,5,4,6,7,5,11,11,10,5,8,15,4
