Pos.,Topic SourceTitle,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
1,UNIVERSITAS MEDICA,183,,,,,,,,,,,
,,,3,WOS:000457096700010,2018,Community-Acquired Pneumonia: A Review of the Literature,"Community acquired pneumonia (CAP) is one of the first mortality causes in Colombia it accounts for 13 of every 100,000 deaths per year. Its principal etiologic agent is still Streptococcus pneumoniae, followed by Haemophilus influenzae and Staphylococcus aureus. Several risk factors have been described for CAP and specific pathoghens, such as coomorbidities and exposition factors. Diagnosis is made by clinical findings associated to laboratory workup and radiological evidence. CURB-65 and PSI are the most known and used tools that, in association with clinical evaluation, calculate the mortality risk and evaluate the setting of management. This literature review aims to consider crucial aspects for the correct assessment of CAP patients, biomarkers used in CAP, particular situations such as severe CAP as well as prevention strategies.",Review,"Martinez-Vernaza, S.; McKinley, E.; Soto, M.J.; Gualtero, S.",pneumonia; bacterial pneumonia; biomarkers; severity of illness index; risk factors; treatment,pneumonia;bacterial pneumonia;biomarkers;severity of illness index;risk factors;treatment;GUIDELINES;DISEASES;SOCIETY;RISK,Colombia,
,,,3,WOS:000457094900005,2018,Frecuency of Do-Not-Resuscitate Orders in a Level 4 University Hospital,"After the introduction of the cardiopulmonary resuscitation into clinical practice, non-resuscitation orders emerged as an alternative for those patients that, for several reasons, were not candidates to receive this type of medical treatment. Over time, the non-resuscitation orders have increased in number, possibly due to the aging of the population, an increase in the prevalence of oncological pathologies or greater awareness of the physicians regarding the outcomes of the patients being carried to a CPR. According to the above, this study was developed with the objective of knowing and describing the frequency of DNR and CPR in patients who died in a level 4 hospital in the city of Bogota. Likewise, the demographic characteristics of these patients were described.",Article,"Rueda, F.E.G.; Hoyos, A.S.; Echeverri, M.D.; Balocco, A.L.; Parra, A.M.",bioethics; cardiopulmonary resuscitation; resuscitation orders,bioethics;cardiopulmonary resuscitation;resuscitation orders;CARDIOPULMONARY-RESUSCITATION;DECISIONS,Colombia,
,,,2,WOS:000457095800004,2018,Comparison of Plasma Cytokine Levels before and after Treatment with Rituximab in Patients with Rheumatoid Arthritis and Systemic Lupus Erythematosus-Associated Polyautoimmunity,"Introduction: Coexistence of more than one autoimmune disease (AD) in a single patient is known as polyautoimmunity, and may be seen in up to 35% of patients with ADs. The elimination of B-cells using Rituximab (RTX) improves clinical status in different ADs. The role of cytokine production by B-cells is unclear in systemic lupus erythematosus (SLE) and polyautoimmunity. Methods: As an exploratory study, plasma from 11 patients with either rheumatoid arthritis (RA) or SLE-associated polyautoimmunity was assessed prior and 6 months after therapy with RTX. Eight healthy individuals were used as controls. Cytokine levels were measured using ELISA (IFN-alpha and TGF-beta 1) or Cytometric Bead Array (TNF-alpha, IL-1 beta, IL-6, IL-8, IL-10, and IL-12p70). Results: Prior to RTX, IL-6 was only elevated in RA and IL-8 was elevated in both RA and SLE-associated polyautoimmunity, compared with controls. After RTX, significant decreases of IL-6 in RA and IL-8 in SLE-associated polyautoimmunity were observed. Levels of other cytokines measured were either similar (IFN-alpha, TGF-beta 1) or below the detection limit (TNF-alpha, IL-1 beta, IL-10, IL-12p70) for both patients and controls. Conclusion: Our data highlight the importance of B-cell cytokine secretion in RA and SLE-associated polyautoimmunity, and suggest a differential role in each pathology. A significant increase of IL-8 prior to RTX in both groups, and a significant decrease after therapy only in SLE-associated polyautoimmunity support the potential of IL-8 as a therapeutic target. The heterogeneity of the polyautoimmunity patient population highlights the importance of the selection of specific subsets in future research.",Article,"Correa, J.E.B.; Cortes, M.A.F.; Uribe, J.A.; Camacho, L.S.R.",cytokines; interleukin-8; rheumatoid arthritis; systemic lupus erythematosus; rituximab,cytokines;interleukin-8;rheumatoid arthritis;systemic lupus erythematosus;rituximab;CELL DEPLETION THERAPY;TUMOR-NECROSIS-FACTOR;REGULATORY B-CELLS;DOUBLE-BLIND;SJOGRENS-SYNDROME;PROINFLAMMATORY CYTOKINES;INADEQUATE RESPONSE;SERUM-LEVELS;PHASE-III;EFFICACY,Colombia,
,,,2,WOS:000500945400003,2020,"Comparison of the Effectiveness, the Safety, and the Pharmacokinetic of Snakebites Antivenoms: Review","Introduction: In Colombia, around 5000 cases of snakebites are reported annually, producing a clinical poisoning whose neutralization depends on heterologous immunoglobulins. Commercially, second-generation complete immunoglobulins and third-generation fabotherapies can be found; however, their differences are unknown to many physicians. Objective: To present the main pharmacokinetic characteristics by comparing the different generations of antivenoms, as well as the frequency of side effects. Materials and Methods: A literature search was conducted in databases using a combination of descriptors and Mesh terms, in English and Spanish. Pharmacokinetic parameters were compared in preclinical studies and side effects in clinical studies. Results: From the researchers analyzed, we found that the main pharmacokinetic differences are a consequence of the size of the immunoglobulin fraction, so the fabotherapic have a greater distribution to the tissues and a shorter half-life, compared with the complete immunoglobulins. At a clinical level, studies were found that showed higher to lower presentation of side effects to complete immunoglobulins, followed by antivenoms F(ab')2 and Fab respectively. Conclusion: There are big pharmacological differences between the generations of antivenoms, which are exposed in this document as a practical tool to optimize the adequate pharmacological treatment in snakebite.",Review,"Sarmiento, K.; Rodriguez, A.; Quevedo-Buitrago, W.; Torres, I.; Rios, C.; Ruiz, L.; Salazar, J.; Hidalgo-Martinez, P.; Diez, H.",snakebites; pharmacokinetic; venoms; Elapidae; Viperidae; antivenoms,snakebites;pharmacokinetic;venoms;Elapidae;Viperidae;antivenoms;CROTALUS-DURISSUS-CUMANENSIS;CAPRYLIC-ACID FRACTIONATION;BOTHROPS-ASPER BITES;COMPARATIVE TRIAL;CLINICAL-TRIAL;TOXINOLOGICAL CHARACTERIZATION;BIOLOGICAL CHARACTERIZATION;IMMUNOGLOBULIN THERAPY;POLYVALENT ANTIVENOMS;ALPHA-NEUROTOXIN,Colombia,
,,,2,WOS:000483650700008,2019,"Inequalities between Women and Men Aged Over and Under Seventy Years. SABE Colombia - Survey on Health, Well-being and Aging 2015","Introduction: The differential approach, knowing the inequalities in older adults, helps in the evaluation of their conditions and in the design of interventions, research and teaching. Objective: To identify the peculiarities and inequalities related to the generation and sex/gender in the Colombian population of older adults. Methodology: Observational, descriptive and analytical study in which a secondary analysis of the SABE Colombia population survey was carried out. Results and Discussion: We present the results according to the inequality between men and women and by generation; of monetary poverty and mobility, violence and displacement. Economic income. Situation during childhood. Access to public services. Family environment. Health conditions. Conclusion: The disparities are related to representations and practices related to gender and age, less evident in the economic aspect. Actions must be reinforced to improve the living conditions of all and the social conceptions and imaginaries that naturalize the differences, and to avoid new disadvantages due to the healthy achievements of aging.",Article,"de Santacruz, C.; Carvajal, D.A.C.; Venegas-Sanabria, L.C.; Gama, A.C.; Gutierrez, C.A.C.",inequalities; gender; elder; aging,inequalities;gender;elder;aging,Colombia,
,,,1,WOS:000740674300011,2021,Bioethical Perspectives about Notion of Mandatory Vaccine for SARS-CoV-2,"Introduction: In December 2019, SARS-CoV-2 was detected in Wuhan (China), which was mainly associated with severe symptoms of respiratory distress. The pandemic was declared in March 2020, which so far has claimed more than two million lives. At the beginning of 2021, vaccination began in the main cities of the world, a strategy that generated great controversies regarding the possibility of applying it as a mandatory application to the population. Objective: To address the most relevant ethical aspects of the notion of obligatory nature of the vaccine against COVID-19, and to provide elements for the bioethical analysis on this measure. Methodology: Wide literature search in the main databases and hermeneutical analysis. Results: Six documents related to ethical aspects regarding compulsory vaccination were found. Analysis of various bioethical perspectives for and against immunization. Conclusion: In favor of the optional notion of vaccination, there are important bioethical reasons to consider respect for the principles of autonomy, non-maleficence, responsibility and agency. Faced with vaccination in a pandemic, information and education should be considered as one of the most important strategies for adherence to this public health measure.",Article,"Galvis, M.D.P.",ethics; ethical; vaccine; COVID-19; SARS; CoV-2,ethics;ethical;vaccine;COVID-19;SARS;CoV-2,Colombia,
,,,1,WOS:000609364900004,2021,Breastfeeding and Rusty Pipe Syndrome Implications in Breastfeeding: Case Report and Narrative Literature Review,"Objective: To report the first case in Colombia of a Rusty Pipe Syndrome; realizing a narrative literature review for giving tools to physicians that help them set out the differential diagnosis in patients with bloody nipple discharge. Results: A 33 years old puerperal women shows a bilateral painless telorrhea in the first hours after vaginal delivery. A gram coloration was carried out, which resulted in the low leukocyte reaction and gram-positive cocci. The culture was negative. The ultrasound reported a BIRADS I. The thelorrhagia yielded spontaneously. It was considered a Rusty Pipe syndrome. Conclusions: Little is known about this clinical condition. It is not usually within the differential diagnoses in cases of bloody nipple discharge associated with breastfeeding. There is limited evidence published in Latin America about this topic.",Review,"Congote, J.V.; Bernal, M.C.J.; Waldron, D.C.S.; Reales, V.D.A.; Saad, E.C.",breast feeding; breast milk; postpartum period; puerperal disorders,breast feeding;breast milk;postpartum period;puerperal disorders;PREGNANCY;MILK,Colombia,
,,,1,WOS:000483140800007,2019,Brown-Sequard Syndrome since its Discovery,"Charles-Edouard Brown-Sequard (1817-1894), was a remarked scientific by his investigations mainly of the spinal cord, born on Mauritius Island acquired a taste for literature, even to go to Paris at 15 years old with his mother to become a writer. Failing in this dream, began his career in medicine, standing out for discoveries in the physiology of the spinal cord, described in his thesis of degree in 1846 and later in 1855 when he coined the syndrome with his name. His studies included subjects in epilepsy, sympathetic control of vasomotor mechanism, interneuronal networks and advances in endocrinology. This article highlights the contributions of this genius and explains the history of the syndrome with his name. In addition, among other topics of interest, it exposes the analysis of the original article published in 1855. From a historical review on spinal cord pathology, followed by his work and investigations of this area. Finishing with his work, where it demonstrates the findings that would be known as Brown-Sequard syndrome through cases and experiments.",Article,"Botero-Rodriguez, F.; Gonzalez, J.C.A.",Brown-Sequard; Brown-Sequard sindrome; spinal cord,Brown-Sequard;Brown-Sequard sindrome;spinal cord,Colombia,
,,,1,WOS:000582642400008,2020,"Cervical Cancer Epidemiology, Prevention and Screening among Women Living with HIV in the Americas region: A Systematic Review Protocol","Background: Women living with HIV (WLHIV) are more prone to persistent infection with high-risk Human Papillomavirus (HR-HPV) and development of cervical pre-cancer and cancer. Health systems should integrate HPV and HIV services considering particularities of WLHIV when offering comprehensive cervical cancer services. Objectives: To synthesize existing knowledge on cervical cancer epidemiology, as well as access to screening and prevention among women living with HIV in the Americas Region. Methods: Five PICO questions will orient a systematic review of published literature in Medline and LILACS; supplemented with cross-referencing and search of grey literature in Trip and Google-Scholar. The protocol will follow PRISMA-P standards. Two reviewers will screen titles and abstracts independently; disagreements will be solved by consensus. Verification of eligibility based on full-text reading will be carried out. Studies finally included will be assessed for risk of bias based on standard tools by type of study. Data extraction tables will be built for every PICO question and reported in a structured format. A meta-analysis will be performed depending upon the results. Discussion: This systematic review anticipates finding valuable information for policy makers and public health actors as it aims to provide new data on a special population from the Americas region.",Review,"Martinez, M.C.; Reyes, C.O.; Deaza, G.F.; Berenguer, B.N.; Mello, M.; Murillo, R.",Americas; HIV; uterine cervical neoplasms; cervical intraepithelial neoplasia; mass screening,Americas;HIV;uterine cervical neoplasms;cervical intraepithelial neoplasia;mass screening;POSITIVE WOMEN;INFECTED WOMEN;LESIONS;RISK,Colombia;United States,
