Pos.,Subject,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Engineering,423,-2.5,49.5,23.4,33,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,1,7,3,10,14,18,20,26,16,23,30,35,37,34,41,63,36
2,General & Internal Medicine,361,-19.5,45.0,24.9,44,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,1,2,7,6,7,14,4,3,10,17,51,41,40,55,74,16
3,Environmental Sciences & Ecology,358,-1.0,50.0,27.9,46,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,2,6,3,3,7,11,10,11,13,8,20,20,20,23,43,48,54,46
4,"Public, Environmental & Occupational Health",262,-4.5,25.5,19.5,35,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,4,2,4,6,13,9,12,13,14,13,18,21,17,27,27,33,18
5,Psychology,259,-8.0,19.0,14.7,26,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,5,22,15,16,14,10,10,13,13,15,13,16,20,29,25,13
6,Science & Technology - Other Topics,255,1.5,38.5,30.2,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,3,4,8,5,10,13,20,23,19,30,36,38,39
7,Neurosciences & Neurology,238,-5.5,20.5,17.2,44,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,1,0,0,3,1,4,10,6,11,10,23,25,31,39,23,29,12
8,Business & Economics,206,-14.0,22.5,21.8,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,3,6,7,4,3,3,6,22,22,30,45,28,17
9,Zoology,197,-8.0,13.5,13.7,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,4,6,6,5,3,5,5,10,9,21,18,19,25,26,17,10
10,Computer Science,181,-4.5,21.0,23.2,24,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,0,2,1,4,4,1,6,8,12,14,12,15,23,23,28,14
