Node,ID
Calderón-Delgado I. C.,60104325
Arbeli Ziv,60033545
Archbold George,60033545-60033316-129498630
Carrillo Henry,123453895
Parra Carlos,60028442
Aguilar Mauricio,60087090-60010844
Cortina-Segarra Jordi,60010844
Barreto Elisa,60008588-60027136
Rojas Danny,60087099-60024825
Arango Carlos A.,60087099-60104957
Jaramillo-Botero Andrés,60031581-60087099
Rodriguez Gerson J.,117860769-118613265
Ceballos Garzon Andrés,60033545-60032006
Rodriguez Jose Y.,123412982
Parra-Giraldo Claudia,60033545-60016574
Gómez-Corrales Matías,60052106-60010806
Acosta Alberto,60033545-60029570-60002694-60008088
Valencia Igor F.,100405697
Kattan Gustavo H.,60087099-100361060
Valenzuela Leonor,100361060-60029681
Cortés Laura Natalia,
Villamil Ruby Alejandra,
Cortés Lilia Yadira,
González-Maya José F.,115006473-60174564
Boyle Sarah A.,60000213
Urbina-Cardona J. Nicolás,60032442-60033545
Barrera-Cataño José I.,
Basto Sofía,
Muñoz Marina,60065589-60055696
Velez Norida,60033545-60040016
Escandón Patricia,60040016
Ramírez Angie Lorena,
Diéguez Estefanía,60027844-124323341
Nieto-Ruiz Ana,60027844-122066921
García-Santos José Antonio,
Valencia Drochss Pettry,129175648
García Martha Cecilia Yépez,60072059
Hernandez Pablo,60015326
Sifontes Yaritza,117777163-60001197
Gómez Georgina,60195992
Liria-Domínguez Maria Reyna,60071242-60103706
Rigotti Attilio,60029681
Fisberg Mauro,101481311-60014992-60008088-123677856
Martínez-Diaz Heidy C.,
Gil-Mora Juliana,
Betancourt-Ruiz Paola L.,
Silva-Ramos Carlos Ramiro,
Cuervo Claudia,
Hidalgo Marylin,60040016-60033545
Santos-Silva Antonio,60008088
Botero Juan Pablo,
Salas-Paramo Jairo,
Escandon-Barbosa Diana,60000937
Millon Cédric,129288966
Ospina-Calderón Nhora Helena,60055696-60087099
Torres Alba Marina,60066812
Flanagan Nicola S.,114183376-60087099
Bruun Hans Henrik,60030840
Moreno-Navarrete José María,60120608
Ortega-Ávila José Guillermo,60087099-60070355
Fernandez-Real José Manuel,60001602
Suárez-Ortegón M. F.,60066812-60027272-60010973
Montoya-Patiño Laura,128922027
Almanza Barbara,60122579
Diaz-Beltran Monica Del Pilar,60033545-60009254
Colorado J.,60028442-60033545
Lorieux Mathias,60045061-60108500
Ghneim-Herrera Thaura,60104957
Quimbaya Mauricio,60019793-60033316-60087099
Tobón Luis Eduardo,60008724-60087099
Finke Jorge,
Rocha Camilo,
Sterling Armando,60077395-60257190
Vargas-García Cesar A.,60077376
