Objetivo ODS,Titulo 1,Titulo 2,Titulo 3
"Objetivo ; Descripcion ; Objetivo 1 ;"" Objetivo 1 .",The DISCOVERY PENTA study: a DIrect Statin COmparison of LDL-C value - an Evaluation of Rosuvastatin therapY compared with atorvastatin,Improving glucose management: Ten steps to get more patients with type 2 diabetes to glycaemic goal,Achievement of low-density lipoprotein cholesterol goals in 18 countries outside Western Europe: The International ChoLesterol management Practice Study (ICLPS)
1 . 1 De aquí a 2030 erradicar para todas las personas y en todo el mundo la pobreza extrema ( actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1 25 dólares de los Estados Unidos al día ),The frontiers of poverty in Bogota,Measuring poverty from the point of view of individuals: Colombia and Valle del Cauca,"Chronic diseases in the population affected by the armed conflict in Colombia, 2015"
1 . 2 De aquí a 2030 reducir al menos a la mitad la proporción de hombres mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales,"THE IMEA PROJECT: AN INTERVENTION BASED ON MICROFINANCE, ENTREPRENEURSHIP, AND ADHERENCE TO TREATMENT FOR WOMEN WITH HIV/AIDS LIVING IN POVERTY",ANALYSIS OF CORPORATE SOCIAL RESPONSIBILITY PROCESSES THROUGH 113 CONCEPTS SOCIAL TOOL OR INSTITUTIONAL MARKETING,Measuring poverty from the point of view of individuals: Colombia and Valle del Cauca
1 . 3 Implementar a nivel nacional sistemas y medidas apropiados de protección social para todos incluidos niveles mínimos y de aquí a 2030 lograr una amplia cobertura de las personas pobres y vulnerables,Assessing Latin America's Progress Toward Achieving Universal Health Coverage,Social Capital on Social Networking Sites: A Social Network Perspective,Regional prioritisation of flood risk in mountainous areas
1 . 4 De aquí a 2030 garantizar que todos los hombres y mujeres en particular los pobres y los vulnerables tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos la propiedad y el control de la tierra y otros bienes la herencia los recursos naturales las nuevas tecnologías apropiadas y los servicios financieros incluida la microfinanciación,"State of the art in access to health services research in Colombia, 2000-2013: A systematic review [Estado del arte de la investigación en acceso a los servicios de salud en Colombia, 2000-2013: Revisión sistemática crítica]",Methodology for the appropriation of basic sanitation technologies in native communities,Field experiments on irrigation dilemmas
1 . 5 De aquí a 2030 fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos sociales y ambientales,"We said, they said: the politics of conceptual frameworks in disasters and climate change in Colombia and Latin America",Building disaster preparedness and response capacity in humanitarian supply chains using the Social Vulnerability Index,Assessing Vulnerability of Transportation Networks for Disaster Response Operations
1 . a Garantizar una movilización significativa de recursos procedentes de diversas fuentes incluso mediante la mejora de la cooperación para el desarrollo a fin de proporcionar medios suficientes y previsibles a los países en desarrollo en particular los países menos adelantados para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones,Cooperation in Latin America: the scientific psychology network,"Examining gender equity in health policies in a low- (Peru), middle- (Colombia), and high- (Canada) income country in the Americas",THE TRANSFORMATIVE EFFECT OF INVESTMENTS IN TERRITORIAL CAPITAL ON POVERTY REDUCTION: EVIDENCE FROM RURAL MEXICO
"1 . b Crear marcos normativos sólidos en los planos nacional regional e internacional sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de género a fin de apoyar la inversión acelerada en medidas para erradicar la pobreza ""; Objetivo 2 ;"" Objetivo 2 .",ERADICATION OF ILLICIT CROPS AND DISPLACEMENT IN THE PARK NATURAL SIERRA DE LA MACARENA,Measuring poverty from the point of view of individuals: Colombia and Valle del Cauca,The frontiers of poverty in Bogota
2 . 1 De aquí a 2030 poner fin al hambre y asegurar el acceso de todas las personas en particular los pobres y las personas en situaciones de vulnerabilidad incluidos los niños menores de 1 año a una alimentación sana nutritiva y suficiente durante todo el año,Homicide in children under ten years old in Mexico: A 20-year study,Healthy eating and restaurants. A review of recent evidence in the literature,"Habitat and Childhood, Pending Rights and Inequities in Latin America"
2 . 2 De aquí a 2030 poner fin a todas las formas de malnutrición incluso logrando a más tardar en 2025 las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años y abordar las necesidades de nutrición de las adolescentes las mujeres embarazadas y lactantes y las personas de edad,Administration of folic acid and other micronutrients to pregnant women in Colombia,Experiences of pregnancy in adolescence of internally displaced women in Bogota: an ethnographic approach,Dietary variation during reproduction in Seba's short-tailed fruit bat
2 . 3 De aquí a 2030 duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala en particular las mujeres los pueblos indígenas los agricultores familiares los ganaderos y los pescadores entre otras cosas mediante un acceso seguro y equitativo a las tierras a otros recursos e,"Does indigenous and campesino traditional agriculture have anything tocontribute to food sovereignty in Latin America? Evidence from Chile, Peru, Ecuador, Colombia, Guatemala and Mexico",Developmental Indigenism: Cultural and State Difference in the Amazon's Border (1959-1980),"Evolution of agrarian structure and socio-productive transformation of rural landscape in Riosucio and Supia (Caldas, Colombia) from the XIX century's second half"
insumos de producción y a los conocimientos los servicios financieros los mercados y las oportunidades para añadir valor y obtener empleos no agrícolas,Enhancing customer knowledge: the role of banks in financial well-being,The Dawn of the ICO: Implications for the Colombian Market,Evaluating machine learning classification for financial trading: An empirical approach
