Node,ID
Walden University,60033370
College of Medicine Alfaisal University,60231076
Aswan University Hospital,60199628
Preventive Medicine and Public Health Research Center,60159448
Hematology Oncology and Stem Cell Transplantation Research Center,60126113
Digestive Diseases Research Institute,60122524
Non-Communicable Diseases Research Center,60120846
Institutionen för Kliniska Vetenskaper Lund,60118584
Melbourne School of Population and Global Health,60118547
Contech International Health Consultants,60114252
Hamdan Bin Mohammed Smart University,60113238
Federal Institute for Population Research,60109465
Alborz University of Medical Sciences,60106549
Jazan University,60106293
Université de Lorraine,60104289
King Fahad Medical City,60091176
Faculty of Medicine University of Peradeniya,60088806
Japan International Cooperation Agency,60087582
Arabian Gulf University,60085992
Birzeit University,60072735
Secretariat of the Pacific Community Noumea,60072710
Université de Tunis El Manar Institut Salah Azaiez,60070308
Ministry of Health Kuwait,60069848
Stavanger University Hospital,60069103
American University of Beirut,60068761
Centre Hospitalier - Universitaire d'Oran,60068736
Health Services Academy Islamabad,60054128
Jordan University of Science and Technology,60051534
Pontificia Universidad Javeriana,60033545
Ministry of Health Saudi Arabia,60032813
Harvard T.H. Chan School of Public Health,60032499
Hospital for Sick Children University of Toronto,60030319
Tropical Medicine,60029929
Korea University College of Medicine,60029700
Universitetet i Bergen,60029622
UCLA Fielding School of Public Health,60029270
KyungHee University College of Medicine,60028708
Ball State University,60028244
Public Health Agency of Canada,60027479
The University of Edinburgh,60027272
The University of Alabama at Birmingham,60027086
Sveriges lantbruksuniversitet,60026851
University of Melbourne,60026553
Charité – Universitätsmedizin Berlin,60026245
The University of Sydney,60025709
Taipei Medical University,60022095
University of Virginia,60021918
Cleveland Clinic Foundation,60021160
Merton College,60019578
Universidade Federal de Santa Catarina,60017609
Universität Heidelberg,60016908
University of Toronto,60016618
University of Aberdeen,60015875
Universität Bielefeld,60015595
University of Washington,60015481
Thomas Jefferson University,60015277
University of Tasmania,60015150
Aintree University Hospital,60014875
King Saud University,60013183
Howard University,60012771
Karolinska Institutet,60012311
Norwegian Institute of Public Health,60011916
Kosin University,60011679
Kyoto University,60011001
Ahmadu Bello University,60010799
Työterveyslaitos,60010493
The University of British Columbia,60010365
Oregon Health &amp,60010123
Cabrini Health,60009442
Murdoch Children's Research Institute,60009102
Sina Trauma and Surgery Research Center,60006672
Universidade de São Paulo,60008088
University of Liverpool School of Medicine,60007820
Faculty of Medicine,60024232
